信源ID,信源名称,层级,标题,记录URL,日期,发文号,数据来源
ah-zjw,安徽省住房和城乡建设厅,省级,关于公开征求《安徽省城市更新条例（草案）》（征求意见稿）意见的通知,https://dohurd.ah.gov.cn/content/article/58250971,,,自动
bj-ft,丰台区人民政府,区级,《您说我办》——走进和义东里老旧小区改造,http://www.bjft.gov.cn/hdjl/zxft/202607/t20260707_218285.shtml,2026-07-07,,自动
bj-ghzrzyw,市规划自然资源委,市级,一图读懂｜《北京市深化与城市更新相适应的街区控规管理改革实施意见》,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/2024zcjd/202607/t20260728_4794683.html,2026-07-28,,自动
bj-ghzrzyw,市规划自然资源委,市级,权威解读｜《北京市深化与城市更新相适应的街区控规管理改革实施意见》,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/2024zcjd/202607/t20260728_4794670.html,2026-07-28,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,国务院关于印发《城市更新  “十五五”规划》的通知,https://www.gov.cn/zhengce/content/202605/content_7070539.htm,2026-05,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,中共中央办公厅 国务院办公厅  关于持续推进城市更新行动的意见,https://www.gov.cn/gongbao/2025/issue_12066/202505/content_7025479.html,2025-05,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,住房和城乡建设部办公厅关于在城市更新改造中切实加强历史文化保护坚决制止破坏行为的通知,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2020/art_17339_246832.html,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,住房和城乡建设部关于在实施城市更新行动中防止大拆大建问题的通知,https://www.gov.cn/zhengce/zhengceku/2021-08/31/content_5634560.htm,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,住房和城乡建设部办公厅关于印发实施城市更新行动可复制经验做法清单（第一批）的通知,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2024/art_17339_769183.html,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,住房和城乡建设部办公厅关于开展第一批城市更新试点工作的通知,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2021/art_17339_762839.html,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,住房城乡建设部办公厅关于印发实施城市更新行动可复制经验做法清单（第二批）的通知,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2023/art_17339_775025.html,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,北京市城市更新条例,https://www.beijing.gov.cn/zhengce/dfxfg/202212/t20221206_2871600.html,2022-12-06,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,北京市城市更新行动计划（2021-2025年）,https://www.beijing.gov.cn/zhengce/zhengcefagui/202108/t20210831_2480185.html,2021-08-31,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,北京市城市更新专项规划（北京市“十四五”时期城市更新规划）,https://www.beijing.gov.cn/zhengce/zhengcefagui/202205/t20220518_2715630.html,2022-05-18,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,关于发布《北京市城市更新政策激励工具箱 （1.0版）》的通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743895417/index.shtml,,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,北京市规划和自然资源委员会 北京市住房和城乡建设委员会关于印发《关于深化建筑规模管理激励城市更新的管理规定（试行）》的通知,https://ghzrzyw.beijing.gov.cn/zhengwuxinxi/zcwj/qtwj/202605/t20260526_4666378.html,2026-05-26,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,北京市规划和自然资源委员会 北京市住房和城乡建设委员会关于印发《北京市城市更新范围内无手续建筑认定处理指导意见（试行）》的通知,https://www.beijing.gov.cn/zhengce/zhengcefagui/202601/t20260108_4411281.html,2026-01-08,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,关于城市更新过程中对国有土地上私有房屋实施房屋征收有关事项的通知,https://www.beijing.gov.cn/zhengce/zhengcefagui/202409/t20240926_3907261.html,2024-09-26,,自动
bj-portal,首都之窗·北京城市更新专栏,市级,经开区地铁万源街站点周边片区城市更新项目,https://www.beijing.gov.cn/fuwu/lqfw/ztzl/bjchshgx/zjshj/zjshj/202509/t20250911_4199707.html,2025-09-11,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会等5部门 印发《关于优化本市城市更新项目审批服务推动并联办理...,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743770327/index.shtml,2024-10-10,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会 北京市规划和自然资源委员会 关于印发《北京市城市更新实施单...,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743770254/index.shtml,2024-09-09,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会关于印发《北京市城市更新实施方案编制工作指南（试行）》的通...,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/qtzcwj/xxyx13/743667581/index.shtml,2024-05-23,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会关于印发《北京市城市更新实施单元统筹主体确定管理办法（试行...,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436456282/index.shtml,2024-04-10,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会关于印发《北京市城市更新项目库管理办法（试行）》的通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436456233/index.shtml,2024-04-10,,自动
bj-zjw-csgx,市住建委·城市更新主题分类,市级,北京市住房和城乡建设委员会关于印发《北京市城市更新专家委员会管理办法（试行）》的通知,https://zjw.beijing.gov.cn/bjjs/xxgk/zcwj2024/gfxwj40/xxyx/436456213/index.shtml,2024-04-10,,自动
